題目,A,B,C,D,,,,,
丹麥王子為父報仇，最終卻走向毀滅的悲劇故事。,哈姆雷特,問鼎,黃袍加身,作壁上觀,,,,,
比喻公而忘私，勤於職守。,三過家門而不入,黃袍加身,作壁上觀,九五之尊,,,,,
指覬覦王位，謀取政權；或指謀取最高榮譽、地位。,問鼎,九五之尊,黃袍加身,挾天子以令諸侯,,,,,
比喻不了解民間疾苦，脫離現實。,何不食肉糜,問鼎,烽火戲諸侯,牝雞司晨,,,,,
比喻君位。,九五之尊,黃袍加身,問鼎,挾天子以令諸侯,,,,,
比喻婦人專權。,牝雞司晨,何不食肉糜,作壁上觀,黃袍加身,,,,,
周幽王為博紅顏一笑，（ ），開了玩笑，導致喪命，為後人所恥笑。,烽火戲諸侯,挾天子以令諸侯,三過家門而不入,作壁上觀,,,,,
班上兩個同學吵架，其他人不敢勸架，都躲在一旁（ ），還偷偷打賭誰會先哭。,作壁上觀,烽火戲諸侯,三過家門而不入,牝雞司晨,,,,,
小明在,題目,A,B,C,D,,,,
:---,:---,:---,:---,:---,,,,,
丹麥王子為父報仇，最終卻走向毀滅的悲劇故事。,哈姆雷特,問鼎,黃袍加身,作壁上觀,,,,,
比喻公而忘私，勤於職守。,三過家門而不入,黃袍加身,作壁上觀,九五之尊,,,,,
指覬覦王位，謀取政權；或指謀取最高榮譽、地位。,問鼎,九五之尊,黃袍加身,挾天子以令諸侯,,,,,
比喻不了解民間疾苦，脫離現實。,何不食肉糜,問鼎,烽火戲諸侯,牝雞司晨,,,,,
比喻君位。,九五之尊,黃袍加身,問鼎,挾天子以令諸侯,,,,,
比喻婦人專權。,牝雞司晨,挾天子以令諸侯,哈姆雷特,問鼎,,,,,
周幽王為博紅顏一笑，（ ），開了玩笑，導致喪命，為後人所恥笑。,烽火戲諸侯,挾天子以令諸侯,三過家門而不入,作壁上觀,,,,,
班上兩個同學吵架，其他人不敢勸架，都躲在一旁（ ），還偷偷打賭誰會先哭。,作壁上觀,烽火戲諸侯,三過家門而不入,,題目,A,B,C,D
:---,:---,:---,:---,:---,,,,,
丹麥王子為父報仇，最終卻走向毀滅的悲劇故事。,哈姆雷特,羅密歐與茱麗葉,奧賽羅,李爾王,,,,,
比喻公而忘私，勤於職守。,三過家門而不入,鞠躬盡瘁,廢寢忘食,克己奉公,,,,,
指覬覦王位，謀取政權；或指謀取最高榮譽、地位。,問鼎,逐鹿中原,稱王稱霸,奪權篡位,,,,,
比喻不了解民間疾苦，脫離現實。,何不食肉糜,紙上談兵,閉門造車,畫餅充飢,,,,,
比喻君位。,九五之尊,南面稱孤,萬歲千秋,孤家寡人,,,,,
比喻婦人專權。,牝雞司晨,垂簾聽政,紅顏禍水,牝雞無晨,,,,,
周幽王為博紅顏一笑，（ ），開了玩笑，導致喪命，為後人所恥笑。,烽火戲諸侯,隻手遮天,一字千金,玩火自焚,,,,,
班上兩個同學吵架，其他人不敢勸架，都躲在一旁（ ），還偷偷打賭誰會先哭。,作壁上觀,袖手旁觀,隔岸觀火,順水推舟,,,,,
小明在電玩遊戲中打敗魔王，獲得傳說中的金色盔甲，感覺像是（ ）一樣，成為遊戲世界的強者。,黃袍加身,錦衣玉食,金蟬脫殼,威風凜凜,,,,,
這位董事長雖然名義上掌權，實際上被副總控制，簡直是現代版的（ ）。,挾天子以令諸侯,傀儡政權,太上皇,寄人籬下,,,,,
